location,time,ppi_dom_con,date
DNK,2001-11,71.3,Nov 2001
DNK,2001-12,72.5,Dec 2001
DNK,2002-01,71.9,Jan 2002
DNK,2002-02,71.7,Feb 2002
DNK,2002-03,74.1,Mar 2002
DNK,2002-04,73.9,Apr 2002
DNK,2002-05,73.2,May 2002
DNK,2002-06,75.5,Jun 2002
DNK,2002-07,75.5,Jul 2002
DNK,2002-08,76.1,Aug 2002
DNK,2002-09,74.8,Sep 2002
DNK,2002-10,76.7,Oct 2002
DNK,2002-11,77,Nov 2002
DNK,2002-12,77.2,Dec 2002
DNK,2003-01,77.9,Jan 2003
DNK,2003-02,77.1,Feb 2003
DNK,2003-03,77.1,Mar 2003
DNK,2003-04,73.8,Apr 2003
DNK,2003-05,75.4,May 2003
DNK,2003-06,73.9,Jun 2003
DNK,2003-07,74.8,Jul 2003
DNK,2003-08,75.6,Aug 2003
DNK,2003-09,74.2,Sep 2003
DNK,2003-10,75.8,Oct 2003
DNK,2003-11,76.1,Nov 2003
DNK,2003-12,76,Dec 2003
DNK,2004-01,77.6,Jan 2004
DNK,2004-02,77.2,Feb 2004
DNK,2004-03,78.1,Mar 2004
DNK,2004-04,77.5,Apr 2004
DNK,2004-05,76.5,May 2004
DNK,2004-06,77.9,Jun 2004
DNK,2004-07,78.7,Jul 2004
DNK,2004-08,81,Aug 2004
DNK,2004-09,80.3,Sep 2004
DNK,2004-10,79.9,Oct 2004
DNK,2004-11,80.8,Nov 2004
DNK,2004-12,80.4,Dec 2004
DNK,2005-01,80.9,Jan 2005
DNK,2005-02,80.4,Feb 2005
DNK,2005-03,80.5,Mar 2005
DNK,2005-04,80.2,Apr 2005
DNK,2005-05,80.4,May 2005
DNK,2005-06,80.6,Jun 2005
DNK,2005-07,80.5,Jul 2005
DNK,2005-08,80.7,Aug 2005
DNK,2005-09,80.5,Sep 2005
DNK,2005-10,80.5,Oct 2005
DNK,2005-11,80.7,Nov 2005
DNK,2005-12,81.1,Dec 2005
DNK,2006-01,80.8,Jan 2006
DNK,2006-02,80.7,Feb 2006
DNK,2006-03,80.8,Mar 2006
DNK,2006-04,81.3,Apr 2006
DNK,2006-05,81.7,May 2006
DNK,2006-06,81.8,Jun 2006
DNK,2006-07,82.5,Jul 2006
DNK,2006-08,83,Aug 2006
DNK,2006-09,83.4,Sep 2006
DNK,2006-10,83.9,Oct 2006
DNK,2006-11,83.8,Nov 2006
DNK,2006-12,84.1,Dec 2006
DNK,2007-01,83.9,Jan 2007
DNK,2007-02,84.1,Feb 2007
DNK,2007-03,84,Mar 2007
DNK,2007-04,84.8,Apr 2007
DNK,2007-05,84.5,May 2007
DNK,2007-06,84.9,Jun 2007
DNK,2007-07,85.4,Jul 2007
DNK,2007-08,85.5,Aug 2007
DNK,2007-09,86.8,Sep 2007
DNK,2007-10,87.9,Oct 2007
DNK,2007-11,88.6,Nov 2007
DNK,2007-12,88.2,Dec 2007
DNK,2008-01,88.6,Jan 2008
DNK,2008-02,88.5,Feb 2008
DNK,2008-03,89.2,Mar 2008
DNK,2008-04,89.3,Apr 2008
DNK,2008-05,89.2,May 2008
DNK,2008-06,90,Jun 2008
DNK,2008-07,90.6,Jul 2008
DNK,2008-08,90.6,Aug 2008
DNK,2008-09,90.4,Sep 2008
DNK,2008-10,90.7,Oct 2008
DNK,2008-11,90.3,Nov 2008
DNK,2008-12,90,Dec 2008
DNK,2009-01,89.5,Jan 2009
DNK,2009-02,89.7,Feb 2009
DNK,2009-03,89.8,Mar 2009
DNK,2009-04,90.1,Apr 2009
DNK,2009-05,89.6,May 2009
DNK,2009-06,89.7,Jun 2009
DNK,2009-07,89.6,Jul 2009
DNK,2009-08,89.6,Aug 2009
DNK,2009-09,90.6,Sep 2009
DNK,2009-10,89.4,Oct 2009
DNK,2009-11,89.4,Nov 2009
