iso,date,Storm
COL,Oct 2017,1
COL,Nov 2020,1
COL,Oct 2022,1
COM,Jan 1951,1
COM,Jan 1983,1
COM,Feb 1985,1
COM,Jan 1987,1
COM,Jan 1989,1
COM,Apr 2003,1
COM,Mar 2014,1
COM,Apr 2019,1
COM,Dec 2019,1
CPV,Sep 1982,1
CPV,Sep 1984,1
CPV,Aug 2015,1
CRI,Oct 1988,1
CRI,Oct 1995,1
CRI,Jul 1996,1
CRI,Oct 1996,1
CRI,Oct 1998,1
CRI,Oct 2005,1
CRI,May 2008,1
CRI,Nov 2016,1
CRI,Sep 2017,1
CRI,Nov 2020,1
CRI,Oct 2022,1
CSK,Jul 1981,1
CSK,Nov 1984,1
CSK,Jul 1987,1
CUB,Oct 1926,1
CUB,Nov 1932,1
CUB,Sep 1935,1
CUB,Oct 1944,1
CUB,Sep 1948,1
CUB,Oct 1948,1
CUB,Oct 1963,1
CUB,Aug 1964,1
CUB,Sep 1966,1
CUB,Oct 1968,1
CUB,Aug 1970,1
CUB,Feb 1978,1
CUB,Aug 1980,1
CUB,Jun 1982,1
CUB,Nov 1985,1
CUB,Jun 1988,1
CUB,Sep 1988,1
CUB,Mar 1993,1
CUB,Nov 1994,1
CUB,Jun 1995,1
CUB,Oct 1995,1
CUB,Oct 1996,1
CUB,Sep 1998,1
CUB,Oct 1999,1
CUB,Nov 2001,1
CUB,Sep 2002,1
CUB,Oct 2002,1
CUB,Aug 2004,1
CUB,Sep 2004,1
CUB,Jul 2005,1
CUB,Oct 2005,1
CUB,Jun 2006,1
CUB,Aug 2007,1
CUB,Oct 2007,1
CUB,Aug 2008,1
CUB,Sep 2008,1
CUB,Nov 2008,1
CUB,Aug 2012,1
CUB,Oct 2012,1
CUB,Sep 2016,1
CUB,Sep 2017,1
CUB,May 2018,1
CUB,Oct 2018,1
CUB,Jan 2019,1
CUB,May 2020,1
CUB,Jul 2020,1
CUB,Jul 2021,1
CUB,Aug 2021,1
CUB,Jun 2022,1
CUB,Sep 2022,1
CYM,Oct 2001,1
CYM,Sep 2002,1
CYM,Aug 2004,1
CYM,Sep 2004,1
CYM,Aug 2008,1
CYM,Nov 2008,1
CYP,Dec 1969,1
CYP,Apr 1983,1
CYP,Jan 2003,1
