location,time,ppi_tot_manufact_food,date
FIN,2014-03,101.5,Mar 2014
FIN,2014-04,101.4,Apr 2014
FIN,2014-05,101.8,May 2014
FIN,2014-06,101.7,Jun 2014
FIN,2014-07,102.1,Jul 2014
FIN,2014-08,102.1,Aug 2014
FIN,2014-09,102,Sep 2014
FIN,2014-10,101.8,Oct 2014
FIN,2014-11,101.4,Nov 2014
FIN,2014-12,101.4,Dec 2014
FIN,2015-01,101,Jan 2015
FIN,2015-02,100.8,Feb 2015
FIN,2015-03,100.8,Mar 2015
FIN,2015-04,100.5,Apr 2015
FIN,2015-05,100.3,May 2015
FIN,2015-06,99.9,Jun 2015
FIN,2015-07,100.4,Jul 2015
FIN,2015-08,99.9,Aug 2015
FIN,2015-09,99.7,Sep 2015
FIN,2015-10,99.2,Oct 2015
FIN,2015-11,99,Nov 2015
FIN,2015-12,98.6,Dec 2015
FIN,2016-01,98.4,Jan 2016
FIN,2016-02,98.1,Feb 2016
FIN,2016-03,98.1,Mar 2016
FIN,2016-04,98.1,Apr 2016
FIN,2016-05,97.4,May 2016
FIN,2016-06,97.6,Jun 2016
FIN,2016-07,97.9,Jul 2016
FIN,2016-08,97.9,Aug 2016
FIN,2016-09,98.2,Sep 2016
FIN,2016-10,98.3,Oct 2016
FIN,2016-11,98.5,Nov 2016
FIN,2016-12,98.6,Dec 2016
FIN,2017-01,99.7,Jan 2017
FIN,2017-02,99.3,Feb 2017
FIN,2017-03,99.7,Mar 2017
FIN,2017-04,99.8,Apr 2017
FIN,2017-05,100,May 2017
FIN,2017-06,100.2,Jun 2017
FIN,2017-07,100.6,Jul 2017
FIN,2017-08,100.6,Aug 2017
FIN,2017-09,100.3,Sep 2017
FIN,2017-10,100,Oct 2017
FIN,2017-11,100.5,Nov 2017
FIN,2017-12,100.4,Dec 2017
FIN,2018-01,100.6,Jan 2018
FIN,2018-02,100.3,Feb 2018
FIN,2018-03,100.5,Mar 2018
FIN,2018-04,100.8,Apr 2018
FIN,2018-05,100.9,May 2018
FIN,2018-06,101.1,Jun 2018
FIN,2018-07,101.2,Jul 2018
FIN,2018-08,101.1,Aug 2018
FIN,2018-09,101.3,Sep 2018
FIN,2018-10,101.3,Oct 2018
FIN,2018-11,101.4,Nov 2018
FIN,2018-12,101.6,Dec 2018
FIN,2019-01,101.8,Jan 2019
FIN,2019-02,102.1,Feb 2019
FIN,2019-03,102.3,Mar 2019
FIN,2019-04,102.4,Apr 2019
FIN,2019-05,102.6,May 2019
FIN,2019-06,103,Jun 2019
FIN,2019-07,103,Jul 2019
FIN,2019-08,103,Aug 2019
