location,time,ppi_tot_con,date
GRC,2017-01,100.3,Jan 2017
GRC,2017-02,100.4,Feb 2017
GRC,2017-03,100.8,Mar 2017
GRC,2017-04,100.7,Apr 2017
GRC,2017-05,100.4,May 2017
GRC,2017-06,100.4,Jun 2017
GRC,2017-07,100.4,Jul 2017
GRC,2017-08,100.6,Aug 2017
GRC,2017-09,100.6,Sep 2017
GRC,2017-10,100.6,Oct 2017
GRC,2017-11,100.4,Nov 2017
GRC,2017-12,100.5,Dec 2017
GRC,2018-01,100.3,Jan 2018
GRC,2018-02,99.9,Feb 2018
GRC,2018-03,99.8,Mar 2018
GRC,2018-04,99.7,Apr 2018
GRC,2018-05,99.6,May 2018
GRC,2018-06,99.5,Jun 2018
GRC,2018-07,99.6,Jul 2018
GRC,2018-08,99.6,Aug 2018
GRC,2018-09,99.5,Sep 2018
GRC,2018-10,99.4,Oct 2018
GRC,2018-11,99.4,Nov 2018
GRC,2018-12,99.4,Dec 2018
GRC,2019-01,99.2,Jan 2019
GRC,2019-02,99.1,Feb 2019
GRC,2019-03,99,Mar 2019
GRC,2019-04,99.1,Apr 2019
GRC,2019-05,99.1,May 2019
GRC,2019-06,99.2,Jun 2019
GRC,2019-07,99.2,Jul 2019
GRC,2019-08,99.3,Aug 2019
GRC,2019-09,99.3,Sep 2019
GRC,2019-10,99.3,Oct 2019
GRC,2019-11,99.3,Nov 2019
GRC,2019-12,99.6,Dec 2019
GRC,2020-01,99.4,Jan 2020
GRC,2020-02,99.4,Feb 2020
GRC,2020-03,99.2,Mar 2020
GRC,2020-04,99.5,Apr 2020
GRC,2020-05,99.4,May 2020
GRC,2020-06,99.2,Jun 2020
GRC,2020-07,99.1,Jul 2020
GRC,2020-08,99.2,Aug 2020
GRC,2020-09,99.3,Sep 2020
GRC,2020-10,99.4,Oct 2020
GRC,2020-11,99.4,Nov 2020
GRC,2020-12,99.6,Dec 2020
GRC,2021-01,99.4,Jan 2021
GRC,2021-02,99.3,Feb 2021
GRC,2021-03,99.5,Mar 2021
GRC,2021-04,99.9,Apr 2021
GRC,2021-05,100.1,May 2021
GRC,2021-06,100.1,Jun 2021
GRC,2021-07,100.1,Jul 2021
GRC,2021-08,100.2,Aug 2021
GRC,2021-09,100.4,Sep 2021
GRC,2021-10,100.9,Oct 2021
GRC,2021-11,101.1,Nov 2021
GRC,2021-12,101.4,Dec 2021
GRC,2022-01,101.3,Jan 2022
GRC,2022-02,101.9,Feb 2022
GRC,2022-03,103.3,Mar 2022
GRC,2022-04,104.7,Apr 2022
GRC,2022-05,104.9,May 2022
GRC,2022-06,105.4,Jun 2022
GRC,2022-07,105.7,Jul 2022
GRC,2022-08,106.4,Aug 2022
GRC,2022-09,107.4,Sep 2022
GRC,2022-10,109,Oct 2022
GRC,2022-11,109.6,Nov 2022
GRC,2022-12,110,Dec 2022
HUN,1998-01,50.92227,Jan 1998
HUN,1998-02,50.26756,Feb 1998
HUN,1998-03,49.54009,Mar 1998
HUN,1998-04,49.90382,Apr 1998
HUN,1998-05,50.3403,May 1998
HUN,1998-06,50.48579,Jun 1998
HUN,1998-07,50.41304,Jul 1998
HUN,1998-08,52.0862,Aug 1998
HUN,1998-09,52.0862,Sep 1998
HUN,1998-10,52.52268,Oct 1998
HUN,1998-11,52.52268,Nov 1998
HUN,1998-12,51.43149,Dec 1998
HUN,1999-01,64.52579,Jan 1999
HUN,1999-02,64.96227,Feb 1999
HUN,1999-03,65.68973,Mar 1999
HUN,1999-04,65.76247,Apr 1999
HUN,1999-05,65.54424,May 1999
HUN,1999-06,65.98071,Jun 1999
HUN,1999-07,66.63542,Jul 1999
HUN,1999-08,67.0719,Aug 1999
HUN,1999-09,67.43563,Sep 1999
HUN,1999-10,67.94485,Oct 1999
HUN,1999-11,68.0176,Nov 1999
HUN,1999-12,68.38133,Dec 1999
HUN,2000-01,69.1088,Jan 2000
HUN,2000-02,69.62198,Feb 2000
HUN,2000-03,69.9641,Mar 2000
HUN,2000-04,70.47729,Apr 2000
HUN,2000-05,71.076,May 2000
HUN,2000-06,71.41812,Jun 2000
HUN,2000-07,72.61555,Jul 2000
HUN,2000-08,74.06957,Aug 2000
HUN,2000-09,75.267,Sep 2000
HUN,2000-10,75.95125,Oct 2000
HUN,2000-11,76.892080000000007,Nov 2000
HUN,2000-12,76.72102,Dec 2000
HUN,2001-01,77.06315,Jan 2001
HUN,2001-02,78.85929,Feb 2001
HUN,2001-03,79.62907,Mar 2001
HUN,2001-04,80.05672,Apr 2001
HUN,2001-05,79.971190000000007,May 2001
HUN,2001-06,79.54353,Jun 2001
HUN,2001-07,80.31331,Jul 2001
HUN,2001-08,80.22778,Aug 2001
HUN,2001-09,80.56991,Sep 2001
HUN,2001-10,80.56991,Oct 2001
HUN,2001-11,80.39884,Nov 2001
HUN,2001-12,80.48438,Dec 2001
HUN,2002-01,81.59628,Jan 2002
HUN,2002-02,81.76733,Feb 2002
HUN,2002-03,81.59628,Mar 2002
HUN,2002-04,81.42521,Apr 2002
HUN,2002-05,81.08309,May 2002
HUN,2002-06,80.65543,Jun 2002
HUN,2002-07,81.25415,Jul 2002
HUN,2002-08,81.42521,Aug 2002
HUN,2002-09,81.59628,Sep 2002
HUN,2002-10,81.76733,Oct 2002
HUN,2002-11,81.25415,Nov 2002
HUN,2002-12,80.65543,Dec 2002
HUN,2003-01,81.51074,Jan 2003
HUN,2003-02,81.76733,Feb 2003
HUN,2003-03,81.6818,Mar 2003
HUN,2003-04,81.59628,Apr 2003
HUN,2003-05,81.25415,May 2003
HUN,2003-06,82.53711,Jun 2003
HUN,2003-07,82.87923,Jul 2003
HUN,2003-08,83.39242,Aug 2003
HUN,2003-09,83.56348,Sep 2003
HUN,2003-10,83.82007,Oct 2003
HUN,2003-11,84.33325,Nov 2003
HUN,2003-12,84.58984,Dec 2003
HUN,2004-01,85.10303,Jan 2004
HUN,2004-02,84.67538,Feb 2004
HUN,2004-03,83.73454,Mar 2004
HUN,2004-04,84.50432,Apr 2004
HUN,2004-05,84.67538,May 2004
HUN,2004-06,84.67538,Jun 2004
HUN,2004-07,84.93197,Jul 2004
HUN,2004-08,85.10303,Aug 2004
HUN,2004-09,84.93197,Sep 2004
HUN,2004-10,85.10303,Oct 2004
HUN,2004-11,85.0175,Nov 2004
HUN,2004-12,84.84644,Dec 2004
HUN,2005-01,85.18856,Jan 2005
HUN,2005-02,84.93197,Feb 2005
HUN,2005-03,84.93197,Mar 2005
HUN,2005-04,85.44515,Apr 2005
HUN,2005-05,85.95834,May 2005
HUN,2005-06,86.21493,Jun 2005
HUN,2005-07,85.70174,Jul 2005
HUN,2005-08,85.44515,Aug 2005
HUN,2005-09,85.61622,Sep 2005
HUN,2005-10,85.70174,Oct 2005
HUN,2005-11,85.70174,Nov 2005
HUN,2005-12,85.53069,Dec 2005
HUN,2006-01,85.87281,Jan 2006
HUN,2006-02,85.0175,Feb 2006
HUN,2006-03,85.78728,Mar 2006
HUN,2006-04,86.38599,Apr 2006
HUN,2006-05,86.64259,May 2006
HUN,2006-06,88.26767,Jun 2006
HUN,2006-07,89.37956,Jul 2006
HUN,2006-08,88.52426,Aug 2006
HUN,2006-09,88.60979,Sep 2006
HUN,2006-10,87.92554,Oct 2006
HUN,2006-11,87.49789,Nov 2006
HUN,2006-12,86.72811,Dec 2006
HUN,2007-01,86.9847,Jan 2007
HUN,2007-02,86.72811,Feb 2007
HUN,2007-03,86.04387,Mar 2007
HUN,2007-04,85.18856,Apr 2007
HUN,2007-05,84.84644,May 2007
HUN,2007-06,84.58984,Jun 2007
